Are you a fresher?,Do you want the college to reopen?,How many semesters have you spent on MS Teams?,Do you miss offline classes?,Do you think we should get more holidays/semester breaks?,Do you think online classes are affecting our mental health?,Do you face technical difficulties while attending online classes?,Do you think we are missing a lot of learning opportunities because of these online classes?,How was your experience of exams conducted on Codetantra?,Do you think 2 hours are enough for solving the FAT questions?
No,Yes,more than 3 semesters,Yes,Strongly Disagree,Disagree,Rarely,Disagree,Excellent,Strongly Agree
No,Yes,3 semesters,Yes,Strongly Agree,Strongly Agree,Very often,Strongly Agree,Nice,Maybe
No,Yes,3 semesters,Yes,Agree,Strongly Agree,Very often,Strongly Agree,Good,Maybe
No,No,2 semesters,No,Strongly Agree,Maybe,Rarely,Maybe,Bad,Strongly Disagree
No,No,more than 3 semesters,No,Strongly Agree,Strongly Agree,Rarely,Strongly Agree,Very bad,Strongly Disagree
No,Yes,3 semesters,Yes,Strongly Agree,Strongly Agree,Rarely,Strongly Agree,Bad,Maybe
No,Yes,more than 3 semesters,Yes,Strongly Agree,Strongly Agree,Rarely,Strongly Agree,Bad,Strongly Disagree
Yes,Yes,1 semester,Yes,Agree,Maybe,Very often,Strongly Agree,Nice,Maybe
No,No,3 semesters,No,Strongly Agree,Agree,Rarely,Agree,Very bad,Strongly Disagree
No,Yes,more than 3 semesters,Yes,Strongly Agree,Strongly Agree,Very often,Strongly Agree,Very bad,Maybe
Yes,No,1 semester,No,Strongly Agree,Strongly Agree,Rarely,Agree,Very bad,Maybe
No,Yes,3 semesters;more than 3 semesters,Yes,Strongly Agree,Strongly Agree,Rarely,Agree,Nice,Agree
No,Yes,more than 3 semesters,Yes,Strongly Agree,Strongly Agree,Rarely,Strongly Agree,Good,Strongly Agree
No,Yes,2 semesters,Yes,Maybe,Strongly Agree,Very often,Strongly Agree,Bad,Disagree
Yes,Yes,2 semester,Yes,Strongly Agree,Strongly Agree,Very often,Strongly Agree,Nice,Disagree
Yes,Yes,1 semester,Yes,Maybe,Agree,Rarely,Strongly Agree,Nice,Maybe
Yes,Yes,1 semester,No,Strongly Agree,Agree,Very often,Agree,Good,Maybe
No,No,3 semesters,No,Strongly Agree,Maybe,Very often,Maybe,Nice,Disagree
No,Yes,3 semesters,Yes,Strongly Agree,Strongly Agree,Very often,Agree,Nice,Maybe
No,Yes,3 semesters,Yes,Strongly Agree,Strongly Agree,Very often,Strongly Agree,Nice,Maybe
No,Yes,3 semesters,Yes,Strongly Disagree,Strongly Agree,Very often,Strongly Agree,Very bad,Strongly Disagree
Yes,Yes,3 semesters,No,Agree,Strongly Agree,Very often,Strongly Agree,Good,Agree
No,Yes,more than 3 semesters,Yes,Strongly Agree,Strongly Agree,Rarely,Agree,Bad,Disagree
No,Yes,3 semesters,Yes,Strongly Agree,Strongly Agree,Very often,Strongly Agree,Bad,Disagree
No,Yes,more than 3 semesters,Yes,Strongly Agree,Strongly Agree,Very often,Strongly Agree,Very bad,Disagree
No,Yes,more than 3 semesters,Yes,Strongly Agree,Agree,Rarely,Strongly Agree,Bad,Strongly Disagree
Yes,Yes,2 semester,Yes,Strongly Agree,Maybe,Rarely,Maybe,Nice,Maybe
No,Yes,3 semesters,Yes,Agree,Strongly Agree,Very often,Strongly Agree,Nice,Disagree
No,Yes,3 semesters,Yes,Strongly Agree,Strongly Agree,Very often,Agree,Good,Strongly Disagree
No,Yes,more than 3 semesters,Yes,Strongly Agree,Strongly Agree,Rarely,Strongly Agree,Bad,Disagree
No,Yes,more than 3 semesters,Yes,Strongly Agree,Agree,Very often,Agree,Nice,Agree
No,Yes,3 semesters,Yes,Strongly Agree,Strongly Agree,Rarely,Strongly Agree,Nice,Agree
No,Yes,more than 3 semesters,Yes,Strongly Agree,Maybe,Rarely,Agree,Bad,Maybe
Yes,No,1 semester,No,Strongly Agree,Maybe,Rarely,Maybe,Very bad,Strongly Disagree
Yes,Yes,1 semester,Yes,Strongly Agree,Strongly Agree,Rarely,Strongly Agree,Bad,Disagree
No,Yes,2 semesters,Yes,Strongly Agree,Maybe,Rarely,Agree,Nice,Agree
No,Yes,3 semesters,Yes,Strongly Agree,Strongly Agree,Very often,Strongly Agree,Bad,Disagree
Yes,Yes,1 semester,No,Agree,Maybe,Rarely,Agree,Nice,Agree
Yes,Yes,3 semesters,Yes,Strongly Agree,Strongly Agree,Very often,Strongly Agree,Good,Disagree
Yes,No,2 semesters,No,Disagree,Maybe,Very often,Disagree,Excellent,Agree
Yes,Yes,1 semester,Yes,Strongly Agree,Disagree,Rarely,Agree,Bad,Disagree
No,Yes,more than 3 semesters,Yes,Strongly Agree,Strongly Agree,Rarely,Strongly Agree,Good,Maybe
No,Yes,more than 3 semesters,Yes,Agree,Strongly Agree,Very often,Strongly Agree,Bad,Maybe
No,Yes,more than 3 semesters,Yes,Strongly Agree,Strongly Agree,Very often,Strongly Agree,Very bad,Disagree
No,Yes,more than 3 semesters,Yes,Agree,Maybe,Very often,Maybe,Bad,Agree
No,Yes,more than 3 semesters,Yes,Strongly Agree,Maybe,Very often,Disagree,Nice,Maybe
No,No,3 semesters,No,Strongly Agree,Strongly Agree,Very often,Strongly Agree,Very bad,Strongly Disagree
